Concepto ,"""Definicion"""
Término ,"""de esta actividad se revisarán en plenaria  los trabajos hechos, haciendo énfasis en la relación de es- tos procesos y su implicación en el comportamiento, esta  actividad se retroalimentará con aportaciones del profesor,  quien hará preguntas generadoras para guiar la discusión y  resolverá dudas."""
Sentido moderno término cognición ,"""cognición engloba al clá- sico, pues los audios sobre percepción, memoria, inteligencia,   PS1COLOGÍA 1  |   lenguaje y aprendizaje continúan considerándose estudios  cognitivos, pero su alcance se ha ampliado para englobar teo- rías cognitivas sobre las emociones, el estrés y la salud mental."""
Término ,"""de esta actividad se revisarán en plenaria los  trabajos, haciendo énfasis en la relación de estos procesos  y su implicación en el comportamiento."""
Sugerencias de actividades de aprendizaje para ,"""afectividad:."""
Término psicología ,"""Psicología proviene de las voces griegas “Psiquis y  logos”, las cuales se traducen de modo literal como el “estudio  del alma”."""
Término mente ,"""mente es de empleo  posterior al de alma y no significa lo mismo."""
Estudiosos ,"""mente fue reemplazando al  de alma conforme la tradición escrita va imponiéndose so- bre la tradición oral."""
Término fenómeno ,"""“fenómeno” debe entenderse como todo aquello  que nos interesa estudiar, sea insólito o común, frecuente o  infrecuente, simple o complejo:."""
Respecto ,"""intentaba mostrar que el  conocimiento de la estructura esencia del mundo es váli- do."""
Descartes ,"""no sólo epistemológicos, sino también ontológicos."""
Hartley ,"""de puros movimientos mecánicos."""
Teorías ,"""teóricos y las leyes o regularidades se relacio- nan entre sí constituyendo un conjunto coherente que puede explicar las regularidades y predecir su ocurrencia."""
Problemas ,"""de estímulo y respuesta."""
Términos generales ,"""generales, ig- noramos aspectos como el color, el tapizado y las llantas, que poco nos dicen sobre el modelo."""
Adquisiciones ,"""de un código abstracto:."""
Foques ,"""y filosofía de la síntesis."""
Hallazgos ,"""de alguna “escue- la” psicológica o de una metodología específica, pero muchos otros fueron más generales, por ejemplo, los que se refieren a la psicología social, la psicometría, la psicobiología."""
Términos psicológicos ,"""psicológicos deben considerarse como parte del lenguaje que utilizamos para hablar de la PS1COLOGÍA 1 | conducta y todos deben ser examinados como aspectos de la conducta verbal."""
Concepción en términos de conducta ,"""de conducta, permite expresar el conocimiento por medio de formulaciones que reflejan la conducta verbal del científico y no sus estados mentales."""
Segundo término ,"""indica que el líder es elegi- do por los integrantes del grupo y toma en consideración las opiniones para tomar decisiones."""
Propiedad ,"""bipolares, y la obser- vación empírica de ambos componentes."""
Neurona célula nerviosa fisiología ,"""tienden a sustituirse por la expresión Neurociencias."""
Aristóteles ,"""griego que se traduce  por diafragma y que se interpreta erróneamente por mente (como  en esquizofrenia, que en realidad significa “diafragma dividido”,  etc."""
Término control total calidad ,"""“control total de calidad” evoca la idea de  establecimientos que celan a sus empleados con el uso de gran  número de inspectores, como si se hubiese clonado Taylor, en  realidad es lo opuesto:."""
Validez objetiva ,"""griego que significa “inteligencia”, en el sentido de presencia de  un Gran Arquitecto como telón de fondo de la creación, tal cómo  nos es dable experimentarla."""
Explicaciones ,"""de presiones que buscan salida, ni de energía, sino de procesamiento humano de la información, siendo la computadora el modelo más afín a la mente humana."""
Sexuales ,"""los  grandes motores de la actividad humana, por eso el incons- ciente reprimido está constituido sobre todo por los impul- sos sexuales, considera que la libido o deseo sexual es la fuer- za por la que el instinto sexual es representado en la mente  en la búsqueda del placer."""
Primero ,"""secundario porque lo  que uno sabe acerca de sí apenas tiene importancia, afirma  que las verdaderas fuerzas que mueven las acciones huma- nas se encuentran ocultas en el inconsciente y son domina- das por los impulsos y deseos, a los que la represión ejercida  por la censura del yo consciente no los deja manifestarse tal  como son."""
Sexuales ,"""los  grandes motores de la actividad humana, por eso el incons- ciente reprimido está constituido sobre todo por los impul- sos sexuales, considera que la libido o deseo sexual es la fuer- za por la que el instinto sexual es representado en la mente  en la búsqueda del placer."""
Instancia ejecutiva ,"""la instancia  ejecutiva de la personalidad."""
Características del video ,"""objetivos planteados en su utilización para  abordar el tema."""
Fuerzas dinámicas ,"""instintos y las pulsiones."""
Veces ,"""momentos en que  el yo no es visto con buenos ojos por el super-yo; por ejem- plo:."""
Perspectiva en psicoanálisis teoría social finales del siglo xix principios del xx sigmund freud ,"""lapsus, los chistes,  los olvidos y, por supuesto, el sueño, fenómenos donde la pa- labra ocupa un lugar privilegiado, en tanto forma de elucida- ción de los síntomas y cura de la neurosis."""
Objeto de estudio ,"""aspectos aislados del sujeto como las reacciones,  conductas observables, los procesos cognitivos, el incons- ciente, los impulsos o tendencias innatas."""
Nervios ,"""nervios sensoriales; los que dirigen la información  del snc a los músculos, glándulas y órganos, son conocidos  como nervios motores, La mayor parte de los nervios son  mixtos; están constituidos por axones tanto de neuronas  sensoriales como motoras."""
Problemas ,"""re- lacionados con el lenguaje, los procesos cognitivos, la  evolución de la conducta, el comportamiento social,  las emociones, las diferencias individuales."""
Hallazgos ateóricos ,"""hallazgos  “ateóricos”, o que permiten explicarse dentro de múltiples  fundamentaciones filosóficas."""
Aspecto relevante ,"""tipos de líder, anterior a  esta lectura también revisamos la formación de las impre- siones cuando nos referimos a las atribuciones que son tam- bién como un proceso para llegar a hacer juicios de evalua- ción, y éstos mismo pueden incluirse en una categoría más     |  PS1COLOGÍA 1 compleja que podemos denominar actitudes."""
Procesos ,"""siguientes:."""
Mundo social político financiero ,"""encargados de explicar sintética y críticamente lo que sucede a  nuestro alrededor."""
Expuestos ,"""únicos, pudien- do encontrar el lector en textos de psicología social cognitiva una  gran variedad de otros heurísticos descubiertos hasta la fecha."""
Aspecto relevante ,"""tipos de líder, anterior a  esta lectura también revisamos la formación de las impre- siones cuando nos referimos a las atribuciones que son tam- bién como un proceso para llegar a hacer juicios de evalua- ción, y éstos mismo pueden incluirse en una categoría más     |  PS1COLOGÍA 1 compleja que podemos denominar actitudes."""
Herente ,"""mos psicología."""
Creador ,"""da Es- tructuralismo, pues querían descubrir el equivalente de los  átomos a nivel de la conciencia, lo cual les daría la pauta de  cómo es la estructura de la mente."""
Humanismo comportamental ,"""do humanismo comportamental, y es el reconoci- miento, dentro de la sec, del papel que juegan los valores, las  metas y los objetivos."""
Deducciones ,"""observaciones empíricas (si bien la expresión es algo redundante pues toda observación lo es de hechos o empírica; la palabra empíri- ca significa experiencia)."""
Fenómenos mediáticos ,"""“heurística de disponibilidad”, que significa que la mente utiliza  para emitir opiniones lo que tiene más a mano:."""
Aspecto relevante ,"""actitudes."""
Último ,"""da tercera fuerza."""
Creador ,"""da Es- tructuralismo, pues querían descubrir el equivalente de los  átomos a nivel de la conciencia, lo cual les daría la pauta de  cómo es la estructura de la mente."""
Deducciones ,"""observaciones empíricas (si bien la expresión es algo redundante pues toda observación lo es de hechos o empírica; la palabra empíri- ca significa experiencia)."""
Funciones ,"""meca- nismos de defensa."""
Escuela creada adler ,"""da Psicología del individuo."""
Casual ,"""ra al tratamiento seguido por él como  talking cure o cura por la palabra."""
Herente ,"""mos psicología."""
Presupuestos ,"""do “psicológicos” son fenómenos natura-    |  PS1COLOGÍA 1 les, son parte del mundo real, del mundo natural; no pro- vienen de una entidad espiritual, un alma o entelequia que  esté más allá de la naturaleza."""
Sistemas ,"""do “ateóricos”, como el análisis experi- mental del comportamiento, están muy cerca de los   PS1COLOGÍA 1  |   hechos, lo cual se requiere en los estadios iniciales de  una ciencia."""
Humanismo comportamental ,"""do humanismo comportamental, y es el reconoci- miento, dentro de la sec, del papel que juegan los valores, las  metas y los objetivos."""
Aspecto relevante ,"""actitudes."""
Forma ,"""persuasión."""
Relación psicología ,"""filosofía analítica, y con la  actualmente renovada filosofía de la mente."""
Ausencia ,"""ción de autismo."""
Denominada corriente analítica ,"""da corriente analítica de la Filosofía constituye una  reacción a los abusos de la más tradicional orientación metafísica:."""
Especialización ,"""Filosofía de la mente."""
Justa razón ,"""“forma- dores de opinión” ya que de lo contrario nos sería muy difícil  decidir, especialmente en el rubro político."""
Fenómenos mediáticos ,"""“heurística de disponibilidad”, que significa que la mente utiliza  para emitir opiniones lo que tiene más a mano:."""
Herente ,"""mos psicología."""
Herente ,"""mos psicología."""
Miento del conductismo ,"""ieran qué era lo que estaban pensando."""
Tes ,"""los mecanismos corporales que hacen que fun- cione el organismo humano; se refiere a las actividades cir- culatorias, motores, cerebrales, sensoriales, a la manera de PS1COLOGÍA 1 | una psicofisiología."""
Localización ,"""ir más fácilmente la localización de ciertas activida- des, los científicos se refieren a sitios situados en diversos ló- bulos, o regiones, del cerebro."""
Teorías de ,"""las teorías de James-Lange, de Cannon-Bard y la teoría cognitiva."""
Tes ,"""los mecanismos corporales que hacen que fun- cione el organismo humano; se refiere a las actividades cir- culatorias, motores, cerebrales, sensoriales, a la manera de PS1COLOGÍA 1 | una psicofisiología."""
General al ,"""ir  los procesos emocionales los correlaciona con lo orgánico."""
Necesario ,"""irlas."""
Experiencias inmediatas ,"""ir las experiencias inmediatas no es  sencillo, lo reconocía Wundt, y, por ello, realizó una dis- tinción importante entre autoobservación y la percepción  interna:."""
Miento del conductismo ,"""ieran qué era lo que estaban pensando."""
Partir ,"""ir el sentido de vida del su- jeto humano y la organización y desarrollo de su subjetividad."""
Dirección ,"""ir y explicar el modo en que las facultades del  elemento determinan el todo."""
Segundo ,"""ir y explicar el  modo en que el todo se organiza y desarrolla."""
Conceptos ,"""en procesos de la realidad para incorporarlos en  un cuerpo teórico que responda al imperativo categórico de  cuidar la vida del sujeto y de su subjetividad."""
Funciones del tumpiri ,"""al sujeto como unidad de observación de la psicología."""
Localización ,"""ir más fácilmente la localización de ciertas activida- des, los científicos se refieren a sitios situados en diversos ló- bulos, o regiones, del cerebro."""
Personas ,"""ir las  emociones básicas experimentadas por los seres humanos  (Cornelius, 1996; Schimmack y Crites, 2005)."""
Palabras para ,"""ir experiencias emocionales, pero el  chino taiwanés solo posee 750 de esas palabras descripti- vas."""
Conscientes ,"""irnos mientras nos com- portamos, y somos conscientes del mundo que nos rodea en     |  PS1COLOGÍA 1 el sentido de que podemos hacer tal autodescripción mien- tras reaccionamos al mundo."""
Parte ,"""irse, que conoce dicho  estímulo."""
Posible ,"""ir  nuestra conducta de ver en ausencia de las cosas vistas, pero  en sus orígenes, se requiere haber visto los objetos y/o su  combinación (como al imaginar un animal que nunca vi- mos y que nunca existió, por ejemplo, un caballo volador)."""
Nombre de corteza somatosensorial ,"""corteza somatosensorial a la parte de  la corteza que recibe información."""
Gusto olfato al gusto al olfato ,"""sentidos  químicos, porque sus receptores son sensibles a las molécu- las químicas y no a la energía solar ni a las ondas sonoras."""
Proceso ,"""percepción."""
Atención selectiva ,"""atención selectiva a la capacidad de es- coger entre varios estímulos sensoriales disponibles."""
Almacenamiento de entradas ,"""memoria."""
Penosa experiencia ,"""un amigo."""
Nombre ,"""tu maestro de primer año, tal vez  no lo recuerdes, pero lo más probable es que reconozcas el  nombre si lo escuchas."""
Símbolo ,"""concepto cuando designa  una clase de objetos o hechos que poseen atributos comu- nes o los atributos propiamente dichos."""
Personas ,"""la paz."""
Autor ,"""pero sintetiza ade- cuadamente fibra más esencial del pensamiento existencialista, que como ya se expresó, presenta una marcada gravitación en la Psicología, pues los interrogantes ontológicos se encuentran inseparablemente unidos a la pregunta por el sentido de la vida; Rabindranath Tagore, poeta indio y premio Nobel de Literatura, escribió:."""
Hipocondría ,"""da por desgano y pérdida de  interés generalizados; se dice que es reactiva porque aparece como  respuesta a un problema con el medio laboral, familiar o social."""
Teoría del conocimiento ,"""r, dentro de una teoría del conocimiento,  la manera como el entendimiento hace posible el conoci- miento verdadero, Descartes recurre a un acontecimiento  psicológico."""
Psicología ,"""por su preocupa- ción por el uso de métodos muy parecidos a los de la Física,  la Química y la Biología, tratando de establecer relaciones  numéricas con los procesos psicológicos internos."""
Lado ,"""a las estructuras formales, simbólicas, sincrónicas e inconscientes que se suspenden so- bre la realidad concreta."""
Sujeto humano ,"""da como una  ciencia simplificadora."""
Caracterización ,"""ción y el comporta- miento conductual, puede ser designado como el gra- do de manifestación de la actitud."""
Autor ,"""pero sintetiza ade- cuadamente fibra más esencial del pensamiento existencialista, que como ya se expresó, presenta una marcada gravitación en la Psicología, pues los interrogantes ontológicos se encuentran inseparablemente unidos a la pregunta por el sentido de la vida; Rabindranath Tagore, poeta indio y premio Nobel de Literatura, escribió:."""
Hipocondría ,"""da por desgano y pérdida de  interés generalizados; se dice que es reactiva porque aparece como  respuesta a un problema con el medio laboral, familiar o social."""
Autor ,"""pero sintetiza ade- cuadamente fibra más esencial del pensamiento existencialista, que como ya se expresó, presenta una marcada gravitación en la Psicología, pues los interrogantes ontológicos se encuentran inseparablemente unidos a la pregunta por el sentido de la vida; Rabindranath Tagore, poeta indio y premio Nobel de Literatura, escribió:."""
Recuerde ,"""fuente de las emociones, en- tonces las personas con lesiones graves en la médula espinal  tendrían que experimentar menos emociones y menos in- tensas, lo cual no es así (Cobos, Sánchez, Pérez y Vila, 2004)."""
Partir ,"""siguientes:."""
Dicho ,"""siguientes:."""
Objeto de estudio ,"""característi- cas del comportamiento del humano, pero vamos a dedicar PS1COLOGÍA 1 | especial interés a su base material, al sustento biológico so- bre la que se asienta dicha conducta:."""
Actividades sugeridas ,"""siguientes:."""
Sugerencias de actividades de aprendizaje ,"""siguientes:."""
Dicho ,"""siguientes:."""
Conductas ,"""conductas no verbales que se muestran en una relación de noviazgo/amistad?"""
Psicología ,"""empíricas o fácticas | PS1COLOGÍA 1 (del latín factum, hecho) pues dependen de los hechos reales, los que pueden ser históricos (como en las ciencias huma- nísticas), sociológicos (como en las sociales) o físicos (como en las naturales), pero en cualquier caso las deducciones de- ben tratar de interpretar los fenómenos ocurridos antes que adecuarse a la mera formalidad."""
Características generales ,"""características generales de estos trabajos vamos a revisar los rasgos prin- cipales que constituyen a una teoría para saber a qué nos referimos cuando hablamos de teorías psicológicas."""
Teoría de piaget ,"""es- tructuras mentales que guían la adaptación inteligente del niño a su ambiente y que configuran el conocimiento in- fantil del mundo."""
Metáfora ,"""estructuras formales o sistemas funcionales."""
Consciencia ,"""propieda- des físicas del sistema nervioso, si sufriéramos un accidente automovilístico que nos lesionara el cerebro:."""
Cuerpo ,"""fibras nerviosas."""
Relevadores ,"""sinapsis, espacios que se encuentran entre las células nerviosas."""
Áreas de asociación ,"""que sintetizan la información."""
Células ,"""que convierten la energía luminosa en impulsos químicos y eléctricos, los cuales atraviesan el nervio óptico en dirección al cerebro."""
Símbolos ,"""palabras:."""
Emociones primarias ,"""que son evidentes en todas las culturas, contribuyen a la super- vivencia, están asociadas con una expresión facial definida y son evidentes en los primates no humanos."""
Emociones secundarias ,"""que no se encuentran en todas las cul- turas y pueden considerarse como combinaciones sutiles de las emociones primarias."""
Estructuralismo funcionalismo gestalt psicoanálisis topología reflexología conductismo logía existencial ,"""escuelas psicológicas clásicas y po- demos considerarlas similares a los paradigmas propuestos por Kuhn para explicar el desarrollo de otras ciencias."""
Ventajas ,"""siguientes:."""
Eventos ,"""interacciones del organis- mo con los objetos y eventos que constituyen los factores de estímulo del ambiente."""
Adolescentes ,"""más influyentes en sus actitudes."""
Partir ,"""siguientes:."""
Dicho ,"""siguientes:."""
Objeto de estudio ,"""característi- cas del comportamiento del humano, pero vamos a dedicar PS1COLOGÍA 1 | especial interés a su base material, al sustento biológico so- bre la que se asienta dicha conducta:."""
Actividades sugeridas ,"""siguientes:."""
Sugerencias de actividades de aprendizaje ,"""siguientes:."""
Dicho ,"""siguientes:."""
Conductas ,"""conductas no verbales que se muestran en una relación de noviazgo/amistad?"""
Psicología ,"""empíricas o fácticas | PS1COLOGÍA 1 (del latín factum, hecho) pues dependen de los hechos reales, los que pueden ser históricos (como en las ciencias huma- nísticas), sociológicos (como en las sociales) o físicos (como en las naturales), pero en cualquier caso las deducciones de- ben tratar de interpretar los fenómenos ocurridos antes que adecuarse a la mera formalidad."""
Ejemplos de disciplinas ,"""Física, la Astronomía, la Química y la Biología (y ciertas  carreras de orientación técnica derivadas de ellas como la  Ingeniería en relación con la Física, o la Medicina en rela- ción con la Biología)."""
Características generales ,"""características generales de estos trabajos vamos a revisar los rasgos prin- cipales que constituyen a una teoría para saber a qué nos referimos cuando hablamos de teorías psicológicas."""
Teoría de piaget ,"""es- tructuras mentales que guían la adaptación inteligente del niño a su ambiente y que configuran el conocimiento in- fantil del mundo."""
Metáfora ,"""estructuras formales o sistemas funcionales."""
Consciencia ,"""propieda- des físicas del sistema nervioso, si sufriéramos un accidente automovilístico que nos lesionara el cerebro:."""
Cuerpo ,"""fibras nerviosas."""
Relevadores ,"""sinapsis, espacios que se encuentran entre las células nerviosas."""
Neuronas células nerviosas ,"""unidad elemen-    |  PS1COLOGÍA 1 tal del procesamiento y transmisión de la información del  Sistema Nervioso, a diferencia de otras células del organis- mo las neuronas no pueden ser reemplazadas cuando mue- ren, es decir, nunca tendremos más neuronas de las que te- nemos al nacer."""
Neuronas ,"""rgas y delgadas, con ramificaciones  o extensiones arborescentes."""
Áreas de asociación ,"""que sintetizan la información."""
Células ,"""que convierten la energía luminosa en impulsos químicos y eléctricos, los cuales atraviesan el nervio óptico en dirección al cerebro."""
Símbolos ,"""palabras:."""
Emociones primarias ,"""que son evidentes en todas las culturas, contribuyen a la super- vivencia, están asociadas con una expresión facial definida y son evidentes en los primates no humanos."""
Emociones secundarias ,"""que no se encuentran en todas las cul- turas y pueden considerarse como combinaciones sutiles de las emociones primarias."""
Recuerde ,"""fuente de las emociones, en- tonces las personas con lesiones graves en la médula espinal  tendrían que experimentar menos emociones y menos in- tensas, lo cual no es así (Cobos, Sánchez, Pérez y Vila, 2004)."""
Presupuestos ,"""causalidad, el determinismo, el naturalismo,  el objetivismo, la posibilidad de verificación, la sistematici- dad, la generalidad, la búsqueda de leyes, la explicación, la  predicción, la posibilidad de conocer el mundo y modifi- carlo."""
Estructuralismo funcionalismo gestalt psicoanálisis topología reflexología conductismo logía existencial ,"""escuelas psicológicas clásicas y po- demos considerarlas similares a los paradigmas propuestos por Kuhn para explicar el desarrollo de otras ciencias."""
Ventajas ,"""siguientes:."""
Eventos ,"""interacciones del organis- mo con los objetos y eventos que constituyen los factores de estímulo del ambiente."""
Adolescentes ,"""más influyentes en sus actitudes."""
Emociones primarias ,"""que son evidentes en todas las culturas, contribuyen a la super- vivencia, están asociadas con una expresión facial definida y son evidentes en los primates no humanos."""
Cuerpos ,"""como extensión y las únicas propiedades que pueden deter- minar su naturaleza y función como objetos materiales son la figura, el tamaño y el movimiento."""
Juicio ,"""como la expresión de un proceso de com- paración, donde la memoria desempeña un papel relevante."""
Psicólogos ,"""su disciplina como el estudio científico del comportamiento de los organismos."""
Actitud ,"""como una predisposición a com- portarse de forma favorable o desfavorable hacia algún ob- jeto, evento o personal."""
Conclusión cierta ,"""lo propiamente humano."""
Opinión ,"""punto de partida de la investigación filo- sófica."""
Newton ,"""resultado de las vibraciones de los cuerpos sobre la  retina."""
Epistemología ,"""ementos fundamenta- les para poder reconocer la génesis social de esa diversidad  articulada al desarrollo del capitalismo y al lugar privilegia- do que van ocupando en ese contexto las ciencias sociales,     |  PS1COLOGÍA 1 entre ellas la Psicología."""
Método científico ,"""fundamento de la civilización."""
Sentidos ,"""microsco- pio, el telescopio y la inmensa gama de recursos tecnológicos  que hemos desarrollado."""
Evidentemente ,"""único factor implicado en la violencia."""
Sugerencias de actividades de aprendizaje ,"""estructuración categórica de in- formación, que permite una comprensión gráfica del tema,  pero esta no tiene una jerarquía definida."""
Psicología ,"""ciencia fáctica o empírica, que participa  de tres mundos:."""
Tesis mental ,"""tesis funda- mental para el pensamiento cartesiano."""
Cuarto ,"""experiencia inmediata, no está ""mediada""."""
Forma ,"""forma específicamente humana de los fenó- menos psicológicos y que la comprensión de ella exige el re- conocimiento de su carácter histórico y social."""
Freud ,"""búsqueda del  placer (libido), se transfiere a diversas zonas erógenas, que  son áreas sensoriales de placer sensual y erótico del cuerpo."""
Jung ,"""prueba del progreso de la civilización."""
Perspectiva lineal paradigma simplificador ,"""unidad disgregable del todo, la es- tructura y dinámica del elemento determina la organiza- ción y desarrollo del todo."""
Segundo ,"""realidad que coopera en la  comprensión y organización del todo."""
Ámbito ,"""metáfora que ayuda  a comprender el origen, la organización y el desarrollo del  sentido de vida del sujeto."""
Psicología ,"""ciencia simplificadora."""
Máquinas computadoras estructuras ,"""metáfora potencial para redefinir la misión  de la ciencia psicológica."""
Sujeto psicológico ,"""máquina, un  ordenador, una estructura formal, un sistema de relacio- nes, un animal inferior (ratones o palomas)."""
Intenta ,"""sopa fría de pollo o que tomas una pepsi caliente  y te darás cuenta de cuán importante es la temperatura para  el sentido del gusto."""
Biografía histórica ,"""biografía histórica para preparar un examen  escolar seguramente harás lo mismo."""
Unidad ,"""repre- sentación mental de un hecho u objeto."""
Representación ,"""copia exacta; por el contrario, con- tiene tan sólo los aspectos sobresalientes del original."""
Lenguaje ,"""forma de comunicación intencional de  flexibilidad casi infinita, determinada por reglas que defi- nen su significado en tres aspectos centrales:."""
Relación entre lenguaje miento ,"""relación compleja, ya que el desarrollo del lenguaje  tiene como base la adquisición de la capacidad simbólica y  de representación de la realidad propia del pensamiento y,  al mismo tiempo, va a ayudar a representar el pensamiento."""
Amigos ,"""señal de que quizá no se siente tan cómodo con ellos como  los amigos a los que invita a sentarse con usted en la mesa  de la cocina."""
Conducta ,"""señal  infalible."""
Herente ,"""etapa por superar  en el futuro cercano, o si, por el contrario, es algo que brinda  riqueza y variedad al campo de conocimientos que denomina- mos psicología."""
Perspectiva de kuhn 1970 ,"""ciencia preparadigmática,  multiparadigmática o en proceso de lograr un paradigma uni- ficador que la convierta en una ciencia “normal”."""
Punto de vista ,"""sola disciplina coherente,  sino una serie de estudios de naturaleza variada, algunos de  ellos dentro del contexto de la ciencia y otros no."""
Tamiento ,"""propiedad relacional, se estudia como un  conjunto de procesos, no de cosas."""
Ciencia ,"""empresa con propósitos y objetivos."""
Psicología unificada ,"""psi- cología ecléctica; tampoco que se pueda identificar con  una de las “escuelas” o “sistemas”."""
Nueva escuela psicológica ,"""nueva escuela psicológica, sino un  programa de investigación para superar la fragmentación  de las escuelas y la desunión de la psicología, respetando  su diversidad de áreas de investigación, campos de aplica- ción, niveles de análisis y pluralidad de metodologías."""
Psicología unificada ,"""psico- logía sin polémicas internas."""
Partir ,"""profesional altamente capacitada, y conocedora  acerca de las enfermedades y sus curas, que está calificada  para recetar medicamentos, etcétera."""
Consecuencia ,"""respuesta que nos indique qué interpretación, de las muchas  posibles, debemos dar a la muerte."""
Relación psicología medicina ,"""aplicación tecnológica de la biología y conser- va una relación privilegiada con la modalidad asistencial propia  de la Psicología clínica."""
Relación entre psicología deporte ,"""actividad que puede estudiarse tanto como  práctica individual o de equipo (por ejemplo, resistencia, preci- sión, concentración, coordinación cuando son varios jugadores,  etc."""
Ejemplo ,"""cuestión empíri- ca, pues quizá produzca un resultado contrario a lo que se busca,  pero ilustra las contribuciones de nuestra disciplina al tema)."""
Matemáticas ,"""forma de expresar  relaciones entre eventos materiales o inmateriales."""
Perspectiva lineal paradigma simplificador ,"""unidad disgregable del todo, la es- tructura y dinámica del elemento determina la organiza- ción y desarrollo del todo."""
Intenta ,"""sopa fría de pollo o que tomas una pepsi caliente  y te darás cuenta de cuán importante es la temperatura para  el sentido del gusto."""
Unidad ,"""repre- sentación mental de un hecho u objeto."""
Lenguaje ,"""forma de comunicación intencional de  flexibilidad casi infinita, determinada por reglas que defi- nen su significado en tres aspectos centrales:."""
Matemáticas ,"""forma de expresar  relaciones entre eventos materiales o inmateriales."""
Herente ,"""etapa por superar  en el futuro cercano, o si, por el contrario, es algo que brinda  riqueza y variedad al campo de conocimientos que denomina- mos psicología."""
Sugerencias de actividades de aprendizaje ,"""estructuración categórica de in- formación, que permite una comprensión gráfica del tema,  pero esta no tiene una jerarquía definida."""
Psicología ,"""ciencia fáctica o empírica, que participa  de tres mundos:."""
Tesis mental ,"""tesis funda- mental para el pensamiento cartesiano."""
Cuarto ,"""experiencia inmediata, no está ""mediada""."""
Forma ,"""forma específicamente humana de los fenó- menos psicológicos y que la comprensión de ella exige el re- conocimiento de su carácter histórico y social."""
Freud ,"""búsqueda del  placer (libido), se transfiere a diversas zonas erógenas, que  son áreas sensoriales de placer sensual y erótico del cuerpo."""
Jung ,"""prueba del progreso de la civilización."""
Perspectiva lineal paradigma simplificador ,"""unidad disgregable del todo, la es- tructura y dinámica del elemento determina la organiza- ción y desarrollo del todo."""
Segundo ,"""realidad que coopera en la  comprensión y organización del todo."""
Ámbito ,"""metáfora que ayuda  a comprender el origen, la organización y el desarrollo del  sentido de vida del sujeto."""
Psicología ,"""ciencia simplificadora."""
Máquinas computadoras estructuras ,"""metáfora potencial para redefinir la misión  de la ciencia psicológica."""
Sujeto psicológico ,"""máquina, un  ordenador, una estructura formal, un sistema de relacio- nes, un animal inferior (ratones o palomas)."""
Intenta ,"""sopa fría de pollo o que tomas una pepsi caliente  y te darás cuenta de cuán importante es la temperatura para  el sentido del gusto."""
Biografía histórica ,"""biografía histórica para preparar un examen  escolar seguramente harás lo mismo."""
Unidad ,"""repre- sentación mental de un hecho u objeto."""
Representación ,"""copia exacta; por el contrario, con- tiene tan sólo los aspectos sobresalientes del original."""
Lenguaje ,"""forma de comunicación intencional de  flexibilidad casi infinita, determinada por reglas que defi- nen su significado en tres aspectos centrales:."""
Relación entre lenguaje miento ,"""relación compleja, ya que el desarrollo del lenguaje  tiene como base la adquisición de la capacidad simbólica y  de representación de la realidad propia del pensamiento y,  al mismo tiempo, va a ayudar a representar el pensamiento."""
Amigos ,"""señal de que quizá no se siente tan cómodo con ellos como  los amigos a los que invita a sentarse con usted en la mesa  de la cocina."""
Conducta ,"""señal  infalible."""
Herente ,"""etapa por superar  en el futuro cercano, o si, por el contrario, es algo que brinda  riqueza y variedad al campo de conocimientos que denomina- mos psicología."""
Perspectiva de kuhn 1970 ,"""ciencia preparadigmática,  multiparadigmática o en proceso de lograr un paradigma uni- ficador que la convierta en una ciencia “normal”."""
Punto de vista ,"""sola disciplina coherente,  sino una serie de estudios de naturaleza variada, algunos de  ellos dentro del contexto de la ciencia y otros no."""
Tamiento ,"""propiedad relacional, se estudia como un  conjunto de procesos, no de cosas."""
Ciencia ,"""empresa con propósitos y objetivos."""
Psicología unificada ,"""psi- cología ecléctica; tampoco que se pueda identificar con  una de las “escuelas” o “sistemas”."""
Nueva escuela psicológica ,"""nueva escuela psicológica, sino un  programa de investigación para superar la fragmentación  de las escuelas y la desunión de la psicología, respetando  su diversidad de áreas de investigación, campos de aplica- ción, niveles de análisis y pluralidad de metodologías."""
Psicología unificada ,"""psico- logía sin polémicas internas."""
Partir ,"""profesional altamente capacitada, y conocedora  acerca de las enfermedades y sus curas, que está calificada  para recetar medicamentos, etcétera."""
Consecuencia ,"""respuesta que nos indique qué interpretación, de las muchas  posibles, debemos dar a la muerte."""
Relación psicología medicina ,"""aplicación tecnológica de la biología y conser- va una relación privilegiada con la modalidad asistencial propia  de la Psicología clínica."""
Relación entre psicología deporte ,"""actividad que puede estudiarse tanto como  práctica individual o de equipo (por ejemplo, resistencia, preci- sión, concentración, coordinación cuando son varios jugadores,  etc."""
Ejemplo ,"""cuestión empíri- ca, pues quizá produzca un resultado contrario a lo que se busca,  pero ilustra las contribuciones de nuestra disciplina al tema)."""
Matemáticas ,"""forma de expresar  relaciones entre eventos materiales o inmateriales."""
Máquinas computadoras estructuras ,"""metáfora potencial para redefinir la misión  de la ciencia psicológica."""
Sugerencias de actividades de aprendizaje ,"""estructuración categórica de in- formación, que permite una comprensión gráfica del tema,  pero esta no tiene una jerarquía definida."""
Sugerencias de actividades de aprendizaje ,"""estructuración categórica de in- formación, que permite una comprensión gráfica del tema,  pero esta no tiene una jerarquía definida."""
Psicología ,"""ciencia fáctica o empírica, que participa  de tres mundos:."""
